Green_BBCH25,Red_BBCH25,RedEdge_BBCH25,NIR_BBCH25,DVI_BBCH25,NDVI_BBCH25,RVI_BBCH25,mSR_BBCH25,TNDVI_BBCH25,RDVI_BBCH25,SAVI_BBCH25,OSAVI_BBCH25,MSAVI2_BBCH25,gDVI_BBCH25,gNDVI_BBCH25,gRDVI_BBCH25,mSR_G_BBCH25,GSAVI_BBCH25,MGSAVI_BBCH25,NGI_BBCH25,GWDRVI_BBCH25,CI_G_BBCH25,CI_RE_BBCH25,TCARI_BBCH25,MCARI1_BBCH25,MCARI2_BBCH25,MTCARI_BBCH25,TCARIOSAVI_BBCH25,REDVI_BBCH25,NDRE_BBCH25,RERDVI_BBCH25,NNIR_BBCH25,REGNDVI_BBCH25,REWDRVI_BBCH25,MSR_RE_BBCH25,MEVI_BBCH25,RESAVI_BBCH25,MRESAVI_BBCH25,MRETVI_BBCH25,Green_BBCH45,Red_BBCH45,RedEdge_BBCH45,NIR_BBCH45,DVI_BBCH45,NDVI_BBCH45,RVI_BBCH45,mSR_BBCH45,TNDVI_BBCH45,RDVI_BBCH45,SAVI_BBCH45,OSAVI_BBCH45,MSAVI2_BBCH45,gDVI_BBCH45,gNDVI_BBCH45,gRDVI_BBCH45,mSR_G_BBCH45,GSAVI_BBCH45,MGSAVI_BBCH45,NGI_BBCH45,GWDRVI_BBCH45,CI_G_BBCH45,CI_RE_BBCH45,TCARI_BBCH45,MCARI1_BBCH45,MCARI2_BBCH45,MTCARI_BBCH45,TCARIOSAVI_BBCH45,REDVI_BBCH45,NDRE_BBCH45,RERDVI_BBCH45,NNIR_BBCH45,REGNDVI_BBCH45,REWDRVI_BBCH45,MSR_RE_BBCH45,MEVI_BBCH45,RESAVI_BBCH45,MRESAVI_BBCH45,MRETVI_BBCH45,Whole_set
40.0,40.0,14.0,11.0,7.0,18.0,7.0,7.0,31.0,7.0,6.0,6.0,7.0,4.0,7.0,7.0,7.0,1.0,4.0,7.0,7.0,32.0,7.0,34.0,40.0,38.0,40.0,31.0,27.0,7.0,4.0,7.0,7.0,7.0,7.0,9.0,4.0,7.0,40.0,40.0,40.0,39.0,40.0,28.0,34.0,7.0,7.0,40.0,7.0,15.0,8.0,7.0,7.0,7.0,3.0,0.0,7.0,7.0,35.0,0.0,0.0,21.0,7.0,4.0,7.0,39.0,7.0,5.0,7.0,7.0,7.0,36.0,9.0,7.0,32.0,7.0,5.0,40.0,0.0
40.0,40.0,39.0,37.0,39.0,40.0,39.0,39.0,40.0,39.0,25.0,39.0,39.0,0.0,39.0,38.0,39.0,0.0,0.0,39.0,39.0,39.0,29.0,40.0,40.0,40.0,40.0,40.0,36.0,14.0,0.0,36.0,39.0,30.0,30.0,39.0,0.0,0.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,6.0,39.0,40.0,39.0,39.0,40.0,39.0,39.0,39.0,0.0,1.0,39.0,39.0,40.0,1.0,0.0,39.0,0.0,0.0,39.0,40.0,13.0,0.0,39.0,11.0,39.0,40.0,39.0,39.0,39.0,32.0,0.0,40.0,0.0
40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,39.0,30.0,39.0,30.0,4.0,40.0,28.0,40.0,28.0,2.0,40.0,40.0,30.0,30.0,40.0,40.0,40.0,40.0,40.0,36.0,29.0,29.0,40.0,40.0,29.0,30.0,40.0,27.0,29.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,30.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,29.0,30.0,40.0,40.0,40.0,31.0,3.0,40.0,10.0,30.0,40.0,40.0,30.0,27.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,30.0,40.0,0.0
40.0,40.0,39.0,40.0,12.0,12.0,12.0,11.0,12.0,0.0,1.0,0.0,12.0,12.0,32.0,0.0,12.0,12.0,9.0,40.0,10.0,0.0,12.0,38.0,40.0,15.0,40.0,12.0,25.0,12.0,12.0,12.0,12.0,12.0,12.0,39.0,12.0,12.0,40.0,40.0,39.0,40.0,32.0,12.0,27.0,12.0,12.0,40.0,6.0,12.0,12.0,3.0,12.0,34.0,0.0,3.0,12.0,12.0,40.0,3.0,0.0,38.0,9.0,0.0,0.0,40.0,5.0,11.0,14.0,12.0,12.0,40.0,19.0,12.0,39.0,12.0,12.0,40.0,0.0
