C,Epsilon,Omega,Kernel_alignment
0.1,10.0,100.0,0.7866047943687308
0.0001,1.0,1.0,0.7838013910499381
0.001,1.0,0.1,0.7855109656884113
0.1,10.0,100.0,0.7878924111841344
0.1,10.0,100.0,0.7856113591885332
0.01,100.0,100.0,0.7879152493758135
0.1,100.0,100.0,0.7897237223299229
0.0001,10.0,1000.0,0.789340749732102
0.0001,10.0,1000.0,0.7890761021101413
0.1,10.0,100.0,0.7872637460158022
0.01,1.0,0.01,0.780314870560757
0.1,10.0,100.0,0.7785996376336258
0.1,10.0,100.0,0.7773604669775432
0.1,10.0,100.0,0.778676697264875
0.0001,10.0,1000.0,0.7784689499320241
0.0001,100.0,100.0,0.7921434393875533
0.0001,10.0,1000.0,0.7910753490713741
0.1,10.0,100.0,0.7908843265995233
0.1,10.0,100.0,0.790751594378872
0.0001,10.0,1000.0,0.7921654368599391
0.01,1.0,0.0001,0.7874675300941671
0.01,1.0,0.001,0.7831820789793896
0.1,10.0,100.0,0.7824828622963116
0.1,10.0,100.0,0.7863458166356749
0.0001,100.0,1.0,0.779190522472014
0.0001,100.0,100.0,0.7913060488242953
0.001,10.0,1000.0,0.7913821407359265
0.001,10.0,1000.0,0.7888076837975212
0.1,100.0,100.0,0.7918441145722048
0.01,100.0,100.0,0.7904111762125962
0.0001,10.0,1000.0,0.7816128009034533
0.1,1.0,0.001,0.7847709486081893
0.01,10.0,1000.0,0.7874905967034207
0.1,10.0,100.0,0.7818222753517621
0.1,10.0,100.0,0.7784216710663296
0.001,10.0,1000.0,0.7890835222228603
0.1,10.0,100.0,0.7877929168813477
0.01,10.0,1000.0,0.7876633379270409
0.001,10.0,1000.0,0.7873348237149795
0.0001,10.0,1000.0,0.7867298389898082
