C,Epsilon,Omega,Kernel_alignment
0.0001,100.0,1000.0,0.9157697372699491
0.0001,100.0,1000.0,0.9139885081114971
0.0001,100.0,1000.0,0.9121296572615517
0.0001,100.0,1000.0,0.9132871228788205
0.0001,100.0,1000.0,0.9128883117687902
0.0001,100.0,1000.0,0.9123352895683825
0.0001,100.0,1000.0,0.9127539006419945
0.0001,100.0,1000.0,0.912870119467968
0.0001,100.0,1000.0,0.9148817042046599
0.0001,100.0,1000.0,0.9151548291318813
0.0001,100.0,1000.0,0.9079926431551643
0.0001,100.0,1000.0,0.9091383246004786
0.0001,100.0,1000.0,0.906576271184712
0.0001,100.0,1000.0,0.9070613540927
0.0001,100.0,1000.0,0.9081632222745022
0.0001,100.0,1000.0,0.9086666668802156
0.0001,100.0,1000.0,0.9106097558986631
0.0001,100.0,1000.0,0.9096820880320179
0.0001,100.0,1000.0,0.909428543049149
0.0001,100.0,1000.0,0.9084992929794198
0.0001,100.0,1000.0,0.9063912380148059
0.0001,100.0,1000.0,0.9073068492372856
0.0001,100.0,1000.0,0.9062418031200274
0.0001,100.0,1000.0,0.9062149131240995
0.0001,100.0,1000.0,0.9066257847741767
0.0001,100.0,1000.0,0.9059859631901866
0.0001,100.0,1000.0,0.9070190303891472
0.0001,100.0,1000.0,0.9106419851496206
0.0001,100.0,1000.0,0.9093221610650226
0.0001,100.0,1000.0,0.909522685133371
0.0001,100.0,1000.0,0.9088513304754228
0.0001,100.0,1000.0,0.9138990978079461
0.0001,100.0,1000.0,0.913099947277635
0.0001,100.0,1000.0,0.9118265909272824
0.0001,100.0,1000.0,0.9095769685521684
0.0001,100.0,1000.0,0.9061410127220334
0.0001,100.0,1000.0,0.9071311719610637
0.0001,100.0,1000.0,0.9061255349949318
0.0001,100.0,1000.0,0.9058877772148212
0.0001,100.0,1000.0,0.9067650780378309
