C,Epsilon,Omega,Kernel_alignment
0.0001,100.0,1000.0,0.9157697368153215
0.0001,100.0,1000.0,0.9139884981984577
0.0001,100.0,1000.0,0.9121296572452526
0.0001,100.0,1000.0,0.9132871228782647
0.0001,10.0,100.0,0.9128883117672383
0.0001,100.0,1000.0,0.9123352895585477
0.0001,100.0,1000.0,0.9127539006417519
0.0001,100.0,1000.0,0.9128701194651269
0.0001,100.0,1000.0,0.9148817042023693
0.0001,10.0,100.0,0.9151548291227829
0.0001,100.0,1000.0,0.907992643186186
0.0001,100.0,1000.0,0.9091383245700883
0.0001,100.0,1000.0,0.9065762711864784
0.0001,10.0,1.0,0.9070613547364476
0.0001,100.0,1000.0,0.9081632220980806
0.0001,100.0,1000.0,0.9086666668866566
0.0001,100.0,1000.0,0.910609755898964
0.0001,100.0,1000.0,0.9096820880324176
0.0001,100.0,1000.0,0.9094285430552091
0.0001,100.0,1000.0,0.9084992929469424
0.0001,100.0,1000.0,0.9063912380227046
0.0001,100.0,1000.0,0.9073068492389168
0.1,10.0,0.001,0.906241815057852
0.0001,100.0,1000.0,0.9062149131337524
0.0001,100.0,1000.0,0.906625781164363
0.0001,100.0,1000.0,0.905985956206882
0.0001,100.0,1000.0,0.9070190295354037
0.0001,100.0,1000.0,0.910641985148435
0.0001,100.0,1000.0,0.9093221610523223
0.0001,100.0,1000.0,0.9095226851328345
0.0001,100.0,1000.0,0.9088512042835772
0.0001,100.0,1000.0,0.9138990976914013
0.0001,100.0,1000.0,0.9130999472871802
0.0001,100.0,1000.0,0.9118265909066292
0.0001,10.0,100.0,0.9095769157760897
0.0001,100.0,1000.0,0.9061410127178199
0.0001,100.0,1000.0,0.9071311640795777
0.0001,100.0,1000.0,0.9061255341360671
0.0001,100.0,1000.0,0.9058877689790293
0.0001,100.0,1000.0,0.906765304884485
