C,Epsilon,Omega,Kernel_alignment
0.0001,1000.0,10.0,0.9258144542857498
0.0001,1000.0,10.0,0.926629361266638
0.0001,100.0,100.0,0.9223774677156502
0.0001,100.0,100.0,0.9225714542504593
0.0001,1000.0,100.0,0.9228131438663476
0.0001,1000.0,100.0,0.9252476823035497
0.0001,100.0,100.0,0.9256427297996771
0.0001,100.0,100.0,0.9225125237773444
0.0001,100.0,100.0,0.9226711878727014
0.0001,10.0,10.0,0.9234549767688593
0.0001,100.0,100.0,0.9191316655502019
0.0001,100.0,100.0,0.9197681114126504
0.0001,1000.0,10.0,0.9177643745772748
0.0001,100.0,100.0,0.9179588644826109
0.0001,100.0,100.0,0.9196213422855364
0.0001,100.0,100.0,0.9216781792650807
0.0001,100.0,100.0,0.9189584338014617
0.0001,100.0,100.0,0.9194530056876583
0.0001,100.0,100.0,0.9186273359299745
0.0001,100.0,100.0,0.9200967901048934
0.0001,100.0,100.0,0.9193457283866897
0.0001,100.0,100.0,0.9185215299987618
0.0001,1000.0,10.0,0.9181295457818872
0.1,100.0,100.0,0.9212553388752232
0.0001,1000.0,10.0,0.9190418330992033
0.0001,10.0,10.0,0.9183851513398481
0.0001,10.0,10.0,0.917927552757362
0.0001,10.0,10.0,0.9178884892286301
0.0001,10.0,10.0,0.9185437765853076
0.0001,100.0,100.0,0.918113556090306
0.0001,100.0,10.0,0.9194451860333426
0.0001,1000.0,100.0,0.9208757045134671
0.0001,100.0,100.0,0.9204064475177819
0.0001,100.0,100.0,0.9215014085008154
0.0001,100.0,10.0,0.922299606440299
0.0001,100.0,100.0,0.918161278670568
0.0001,10.0,10.0,0.9176785806193015
0.0001,1000.0,10.0,0.9176513834486973
0.0001,10.0,10.0,0.9176761989151441
0.0001,10.0,10.0,0.9177587454030492
