C,Epsilon,Omega,Kernel_alignment
0.1,10.0,10000.0,0.733836080680704
0.1,10.0,10000.0,0.7373498116845024
0.0001,10.0,10000.0,0.7336956498611046
0.1,10.0,10000.0,0.7391601861924252
0.1,10.0,10000.0,0.7393877508832926
0.1,100.0,10000.0,0.7330113605858338
0.0001,10.0,10000.0,0.730814558122938
0.1,10.0,10000.0,0.7338707564297913
0.1,10.0,10000.0,0.7360550303613037
0.1,10.0,10000.0,0.7320140531352647
0.1,10.0,10000.0,0.7262242161831367
0.0001,10.0,100.0,0.7282215292671501
0.1,10.0,10000.0,0.7262100646511567
0.1,100.0,10000.0,0.7265740648718902
0.0001,10.0,1000.0,0.7354191054619754
0.0001,10.0,10000.0,0.7337162549613018
0.1,10.0,10000.0,0.7283622428337628
0.1,10.0,1000.0,0.7271125038757474
0.0001,10.0,100.0,0.7257214733298074
0.0001,10.0,100.0,0.7306417122300165
0.0001,100.0,10000.0,0.7357407515695497
0.1,10.0,10000.0,0.7313954738973895
0.1,10.0,10000.0,0.725623242058889
0.1,10.0,10000.0,0.731308055629929
0.1,10.0,10000.0,0.7263850825104239
0.0001,10.0,10000.0,0.7316677772319958
0.0001,10.0,100.0,0.7243294104048081
0.0001,10.0,100.0,0.7258292310742477
0.1,10000.0,10.0,0.7245177285876856
0.1,10.0,10000.0,0.7262053882934915
0.0001,10.0,10000.0,0.7286321744425648
0.0001,10.0,100.0,0.7314394935250202
0.0001,10.0,10000.0,0.732508532095808
0.0001,10.0,1000.0,0.732015745937599
0.0001,10.0,100.0,0.721737915181411
0.0001,10.0,10000.0,0.7274701009749454
0.0001,10.0,10.0,0.724849039509931
0.0001,10.0,10000.0,0.7246851715382439
0.0001,10.0,10.0,0.7233027650795486
0.0001,10.0,0.0001,0.7268717605051335
